DETECTEDID,FirstRecord,N,LastRecord
A69-1601-39428,11/13/2015,1466,01/15/2016
A69-1601-39438,11/16/2015,255,01/31/2016
A69-1601-39423,11/13/2015,236,12/07/2015
A69-1601-39418,11/13/2015,235,01/31/2016
A69-1601-39446,11/13/2015,147,01/31/2016
A69-1601-39420,11/13/2015,146,12/07/2015
A69-1601-39445,11/13/2015,141,01/31/2016
A69-1601-39425,11/16/2015,134,03/20/2016
A69-1601-39436,11/15/2015,127,12/07/2015
A69-1601-39426,11/22/2015,120,05/09/2016
A69-1601-39447,11/15/2015,80,12/07/2015
A69-1601-39433,11/16/2015,78,12/01/2015
A69-1601-39441,11/14/2015,77,11/30/2015
A69-1601-39429,11/16/2015,57,12/01/2015
A69-1601-39424,11/16/2015,54,01/31/2016
A69-1601-39443,11/16/2015,24,11/17/2015
A69-1601-39442,11/14/2015,16,11/15/2015
A69-1601-39431,11/22/2015,14,01/15/2016
A69-1601-39432,12/02/2015,8,12/07/2015
A69-1601-39435,11/15/2015,4,11/16/2015
A69-1601-39422,11/20/2015,3,11/24/2015
A69-1601-39444,11/18/2015,3,01/17/2016
A69-1601-39419,02/07/2016,2,02/07/2016
A69-1601-39421,11/25/2015,1,11/25/2015
A69-1601-39437,01/31/2016,1,01/31/2016
